BEN;CO;MXIL;NO;NO2;O3;PM2.5;SO2;TOL
0.33;0.44;0.43;38.0;39.0;22.0;5.0;10.0;1.22
0.44;0.5;0.86;44.0;36.0;23.0;6.0;17.0;2.12
0.2;0.32;0.37;24.0;34.0;33.0;2.0;7.0;0.97
0.19;0.34;0.28;18.0;33.0;40.0;4.0;8.0;0.86
0.27;0.4;0.32;17.0;35.0;25.0;7.0;8.0;0.83
0.5;0.5;0.5;31.0;33.0;17.0;8.0;15.0;1.37
0.49;0.58;0.49;56.0;46.0;6.0;8.0;26.0;1.74
0.51;0.38;0.77;49.0;40.0;20.0;4.0;5.0;2.33
0.66;0.52;0.89;77.0;40.0;6.0;12.0;9.0;2.53
1.02;0.81;1.33;118.0;46.0;4.0;14.0;16.0;3.9
0.7;0.71;1.1;94.0;42.0;7.0;15.0;15.0;3.05
0.86;0.68;0.81;81.0;36.0;9.0;14.0;10.0;2.6
0.88;0.68;0.88;76.0;37.0;6.0;11.0;12.0;2.02
0.48;0.45;0.36;33.0;27.0;22.0;8.0;11.0;1.09
0.32;0.41;1.01;45.0;39.0;27.0;2.0;11.0;1.4
0.22;0.29;0.31;16.0;32.0;40.0;4.0;8.0;0.87
0.45;0.5;0.82;44.0;49.0;18.0;5.0;9.0;2.08
0.72;0.67;1.71;76.0;54.0;13.0;3.0;11.0;4.71
1.39;0.88;2.69;133.0;53.0;8.0;6.0;18.0;6.41
0.32;0.3;0.41;27.0;24.0;38.0;3.0;7.0;1.3
0.29;0.25;0.46;15.0;28.0;41.0;6.0;6.0;1.01
0.25;0.23;0.32;12.0;24.0;45.0;3.0;8.0;0.71
0.26;0.17;0.26;13.0;22.0;39.0;3.0;6.0;0.5
0.54;0.41;0.63;45.0;46.0;21.0;3.0;14.0;2.58
0.29;0.2;0.28;13.0;33.0;48.0;3.0;6.0;0.55
0.33;0.25;0.26;10.0;29.0;41.0;3.0;9.0;0.51
0.41;0.32;0.39;15.0;35.0;36.0;4.0;6.0;0.91
0.72;0.52;0.67;66.0;54.0;7.0;5.0;14.0;1.95
0.64;0.4;0.61;63.0;52.0;12.0;4.0;11.0;1.98
0.72;0.41;0.79;77.0;53.0;19.0;4.0;7.0;2.6
0.4;0.3;0.3;14.0;36.0;29.0;6.0;13.0;0.75
0.99;0.56;9.52;89.0;57.0;3.0;8.0;8.0;3.43
1.0;0.58;2.61;62.0;59.0;3.0;6.0;4.0;2.97
0.61;0.39;0.98;21.0;46.0;6.0;7.0;4.0;1.38
0.6;0.45;0.61;42.0;48.0;9.0;7.0;6.0;1.71
0.4;0.21;0.4;16.0;35.0;19.0;4.0;5.0;0.83
0.5;0.27;0.66;28.0;46.0;22.0;6.0;7.0;1.24
0.78;0.43;11.57;85.0;59.0;10.0;13.0;17.0;2.4
0.86;0.43;6.61;92.0;54.0;16.0;5.0;17.0;2.9
0.84;0.3;6.7;92.0;55.0;29.0;5.0;15.0;2.91
0.82;0.34;6.8;92.0;54.0;28.0;2.0;12.0;2.92
0.94;0.55;1.68;100.0;50.0;6.0;7.0;12.0;3.45
0.68;0.45;2.26;68.0;45.0;3.0;6.0;9.0;2.11
0.68;0.5;2.26;79.0;48.0;4.0;9.0;9.0;2.11
0.41;0.26;2.85;17.0;48.0;14.0;3.0;4.0;0.77
0.4;0.3;0.33;22.0;42.0;27.0;6.0;8.0;0.74
0.44;0.31;0.46;14.0;41.0;26.0;7.0;8.0;0.68
0.7;0.4;1.14;37.0;42.0;14.0;10.0;8.0;1.26
0.92;0.68;1.72;101.0;57.0;5.0;15.0;18.0;2.72
0.72;0.52;1.05;52.0;47.0;8.0;18.0;18.0;1.95
0.52;0.37;0.38;29.0;41.0;13.0;16.0;13.0;1.17
0.35;0.24;0.73;16.0;38.0;40.0;5.0;10.0;1.38
0.18;0.29;1.07;22.0;43.0;36.0;7.0;8.0;1.59
0.15;0.33;0.4;12.0;33.0;40.0;3.0;8.0;1.15
0.15;0.24;0.31;8.0;26.0;49.0;5.0;6.0;0.66
0.19;0.22;0.6;12.0;32.0;37.0;5.0;6.0;1.24
0.27;0.34;0.72;28.0;46.0;24.0;9.0;9.0;1.78
0.25;0.33;0.46;24.0;47.0;29.0;8.0;9.0;1.43
0.23;0.32;1.25;26.0;47.0;30.0;9.0;8.0;1.87
0.21;0.37;0.96;25.0;52.0;28.0;4.0;8.0;2.18
0.18;0.34;0.88;16.0;42.0;30.0;5.0;11.0;1.89
0.15;0.3;0.61;13.0;33.0;35.0;1.0;8.0;1.48
0.25;0.28;2.36;27.0;43.0;39.0;4.0;5.0;2.22
0.22;0.31;1.1;22.0;47.0;30.0;4.0;8.0;2.15
1.53;0.83;8.22;163.0;74.0;14.0;2.0;10.0;13.65
1.0;0.79;7.15;129.0;63.0;3.0;5.0;8.0;11.35
0.55;0.52;2.66;53.0;38.0;14.0;8.0;14.0;4.91
0.38;0.28;1.08;22.0;36.0;41.0;3.0;5.0;1.64
0.25;0.32;1.07;12.0;38.0;26.0;5.0;7.0;1.83
0.17;0.24;0.6;16.0;41.0;29.0;3.0;6.0;1.51
0.18;0.22;0.51;16.0;40.0;37.0;3.0;6.0;1.26
0.15;0.18;0.61;15.0;33.0;39.0;2.0;4.0;1.34
0.25;0.29;0.93;29.0;45.0;26.0;9.0;7.0;2.03
0.32;0.32;1.87;24.0;44.0;26.0;14.0;6.0;2.17
0.45;0.39;1.21;30.0;41.0;25.0;17.0;7.0;2.46
0.52;0.39;1.25;19.0;39.0;25.0;20.0;11.0;2.84
0.64;0.28;0.21;28.0;43.0;38.0;12.0;12.0;4.0
0.65;0.34;0.36;21.0;44.0;33.0;12.0;13.0;4.11
0.65;0.24;0.36;7.0;24.0;48.0;13.0;12.0;4.0
0.64;0.41;0.51;44.0;58.0;21.0;13.0;7.0;1.64
0.15;0.27;0.51;16.0;34.0;44.0;13.0;7.0;1.64
0.25;0.22;1.08;26.0;40.0;44.0;13.0;6.0;1.87
0.43;0.31;2.51;43.0;47.0;25.0;13.0;11.0;4.15
0.23;0.16;1.18;14.0;28.0;43.0;12.0;5.0;2.27
0.26;0.2;1.08;16.0;28.0;47.0;12.0;7.0;2.17
0.14;0.14;0.24;5.0;12.0;71.0;12.0;5.0;0.41
0.14;0.16;0.25;9.0;24.0;57.0;12.0;5.0;0.57
0.27;0.28;1.52;30.0;43.0;27.0;12.0;9.0;2.83
0.19;0.21;1.45;19.0;38.0;43.0;8.0;5.0;2.8
0.29;0.25;1.08;34.0;37.0;45.0;9.0;5.0;2.52
0.19;0.28;0.87;28.0;39.0;41.0;9.0;11.0;2.02
0.14;0.19;0.32;8.0;27.0;54.0;5.0;6.0;0.8
0.14;0.19;0.26;6.0;21.0;57.0;5.0;5.0;0.51
0.15;0.21;0.37;11.0;26.0;50.0;6.0;4.0;0.85
0.16;0.24;0.53;11.0;35.0;43.0;17.0;3.0;1.04
0.16;0.26;0.72;13.0;38.0;42.0;12.0;7.0;1.09
0.2;0.49;1.13;25.0;49.0;30.0;13.0;16.0;1.93
0.16;0.29;1.0;18.0;41.0;34.0;8.0;11.0;2.03
0.14;0.16;0.22;7.0;17.0;62.0;5.0;4.0;0.27
0.18;0.26;0.4;8.0;28.0;51.0;6.0;5.0;0.79
0.26;0.27;0.98;23.0;46.0;29.0;10.0;7.0;2.26
0.15;0.18;0.49;20.0;25.0;22.0;8.0;9.0;1.54
0.15;0.22;0.46;21.0;27.0;34.0;9.0;9.0;1.16
0.14;0.22;0.23;7.0;27.0;42.0;6.0;7.0;0.5
0.14;0.15;0.21;7.0;18.0;67.0;4.0;6.0;0.27
0.16;0.19;0.28;7.0;22.0;55.0;7.0;4.0;0.46
0.32;0.31;1.04;20.0;36.0;23.0;13.0;9.0;2.29
0.26;0.3;1.66;34.0;41.0;28.0;11.0;5.0;4.14
0.24;0.16;0.5;10.0;27.0;53.0;7.0;5.0;1.97
0.21;0.19;0.9;18.0;34.0;37.0;9.0;5.0;2.07
0.25;0.28;1.05;18.0;36.0;26.0;11.0;7.0;3.54
0.25;0.34;1.61;37.0;38.0;45.0;15.0;7.0;3.91
0.14;0.17;0.31;6.0;22.0;53.0;7.0;3.0;0.61
0.14;0.23;0.34;10.0;26.0;41.0;7.0;5.0;0.77
0.3;0.17;0.69;11.0;33.0;49.0;6.0;3.0;0.99
0.46;0.15;1.03;8.0;25.0;51.0;7.0;3.0;1.22
0.45;0.17;1.2;12.0;26.0;51.0;6.0;6.0;1.46
0.77;0.23;2.9;27.0;34.0;34.0;9.0;6.0;3.24
0.72;0.35;1.46;15.0;39.0;31.0;13.0;6.0;2.48
0.59;0.38;1.12;7.0;25.0;39.0;14.0;8.0;1.8
0.58;0.27;1.05;3.0;16.0;42.0;11.0;4.0;1.57
0.56;0.22;1.39;17.0;26.0;36.0;10.0;5.0;2.02
0.74;0.52;2.02;26.0;29.0;31.0;16.0;13.0;3.26
0.87;0.48;2.94;21.0;36.0;32.0;20.0;24.0;3.84
0.73;0.28;1.76;12.0;25.0;46.0;17.0;16.0;2.75
0.51;0.38;1.12;4.0;21.0;49.0;28.0;10.0;1.77
0.91;0.74;2.31;23.0;33.0;24.0;28.0;11.0;5.62
0.96;0.31;1.42;6.0;20.0;40.0;26.0;7.0;2.3
0.43;0.12;0.91;4.0;17.0;51.0;11.0;3.0;1.14
0.38;0.21;0.9;4.0;17.0;40.0;14.0;3.0;1.25
0.45;0.13;1.09;4.0;18.0;49.0;9.0;4.0;1.36
0.36;0.1;0.94;4.0;18.0;45.0;6.0;3.0;1.39
0.39;0.13;1.0;9.0;16.0;56.0;7.0;5.0;1.36
0.45;0.14;0.89;4.0;18.0;51.0;7.0;5.0;1.1
0.44;0.17;0.87;4.0;17.0;40.0;8.0;4.0;1.05
0.58;0.19;1.15;11.0;27.0;42.0;7.0;4.0;1.56
0.48;0.19;1.0;7.0;20.5;49.5;7.5;5.0;1.28
0.37;0.19;0.86;3.0;14.0;57.0;8.0;6.0;1.0
0.6;0.26;1.05;17.0;25.0;33.0;10.0;8.0;1.56
0.48;0.16;1.0;8.0;25.0;51.0;7.0;3.0;1.34
0.42;0.14;0.97;8.0;20.0;43.0;9.0;4.0;1.49
0.46;0.18;0.97;6.0;18.0;42.0;11.0;6.0;1.47
0.41;0.28;1.03;4.0;20.0;51.0;15.0;8.0;1.65
0.98;0.43;1.67;21.0;29.0;42.0;27.0;13.0;3.07
0.57;0.15;0.91;3.0;20.0;61.0;20.0;4.0;1.26
0.47;0.23;1.51;5.0;23.0;60.0;11.0;5.0;1.18
0.36;0.24;0.91;3.0;22.0;59.0;9.0;7.0;1.09
0.51;0.31;1.35;17.0;29.0;42.0;13.0;11.0;2.02
0.38;0.27;1.05;4.0;18.0;61.0;5.0;7.0;1.21
0.4;0.28;0.92;4.0;20.0;47.0;6.0;9.0;1.3
0.37;0.34;0.94;5.0;23.0;50.0;5.0;9.0;1.17
0.49;0.34;1.11;9.0;22.0;41.0;9.0;14.0;1.51
0.41;0.27;1.07;6.0;19.0;49.0;6.0;9.0;1.29
0.36;0.27;0.91;4.0;19.0;55.0;8.0;9.0;1.26
0.41;0.26;0.99;3.0;21.0;60.0;14.0;10.0;1.39
0.36;0.28;0.87;2.0;14.0;66.0;15.0;11.0;0.96
0.36;0.26;0.88;2.0;14.0;67.0;14.0;15.0;0.98
0.4;0.47;1.01;10.0;32.0;50.0;15.0;20.0;1.67
0.4;0.46;1.24;7.0;25.0;57.0;17.0;13.0;1.77
0.38;0.44;1.6;4.0;26.0;60.0;18.0;8.0;1.98
0.39;0.52;1.31;5.0;26.0;54.0;21.0;14.0;1.74
0.38;0.27;1.45;4.0;26.0;72.0;12.0;8.0;1.97
0.39;0.27;0.88;4.0;20.0;64.0;8.0;8.0;1.07
0.45;0.25;0.91;2.0;17.0;66.0;11.0;9.0;1.01
0.48;0.29;0.94;5.0;28.0;56.0;10.0;10.0;1.37
0.52;0.28;1.03;7.0;27.0;50.0;10.0;10.0;1.59
0.44;0.28;1.38;12.0;27.0;36.0;12.0;12.0;2.06
0.52;0.27;0.9;4.0;21.0;44.0;10.0;11.0;1.3
0.45;0.25;0.97;7.0;29.0;34.0;7.0;10.0;1.41
0.66;0.43;0.98;7.0;23.0;31.0;12.0;16.0;1.24
0.58;0.28;0.88;2.0;21.0;41.0;9.0;9.0;1.13
0.44;0.25;1.32;7.0;24.0;44.0;5.0;10.0;1.57
0.39;0.28;1.01;10.0;29.0;36.0;7.0;13.0;1.63
0.37;0.24;1.05;10.0;21.0;44.0;7.0;10.0;1.18
0.36;0.35;0.95;4.0;19.0;53.0;9.0;12.0;1.33
0.38;0.26;0.96;8.0;30.0;38.0;5.0;9.0;1.48
0.37;0.27;0.9;5.0;19.0;40.0;7.0;11.0;1.19
0.4;0.23;1.01;4.0;19.0;35.0;8.0;10.0;1.35
0.54;0.18;1.17;7.0;19.0;50.0;7.0;9.0;1.41
0.35;0.18;0.88;6.0;18.0;51.0;7.0;9.0;1.01
0.39;0.23;0.99;7.0;19.0;40.0;9.0;11.0;1.17
0.37;0.33;0.99;9.0;22.0;36.0;13.0;15.0;2.04
0.42;0.27;1.11;9.0;27.0;29.0;9.0;11.0;2.35
0.41;0.16;0.86;3.0;13.0;50.0;8.0;12.0;0.93
0.51;0.22;0.87;2.0;16.0;46.0;10.0;14.0;0.97
0.43;0.23;0.94;9.0;20.0;28.0;10.0;13.0;1.53
0.35;0.14;0.87;4.0;12.0;37.0;5.0;10.0;0.96
0.41;0.32;0.95;7.0;24.0;34.0;21.0;20.0;1.5
0.37;0.28;0.97;5.0;23.0;31.0;18.0;15.0;1.21
0.41;0.15;0.88;3.0;15.0;50.0;7.0;10.0;0.99
0.49;0.21;0.87;2.0;14.0;60.0;16.0;11.0;1.06
0.7;0.58;0.96;3.0;22.0;49.0;25.0;14.0;1.45
0.39;0.47;1.13;13.0;26.0;47.0;17.0;13.0;1.98
0.39;0.27;0.89;4.0;23.0;47.0;13.0;12.0;1.22
0.39;0.19;0.86;5.0;17.0;40.0;8.0;11.0;1.0
0.37;0.22;0.94;6.0;21.0;33.0;10.0;11.0;1.3
0.35;0.35;0.92;5.0;20.0;39.0;12.0;13.0;1.2
0.45;0.34;0.99;3.0;17.0;41.0;13.0;6.0;1.34
0.44;0.36;0.96;3.0;20.0;41.0;11.5;5.0;1.39
0.44;0.39;0.92;3.0;23.0;41.0;10.0;4.0;1.44
0.4;0.28;1.17;8.0;25.0;39.0;8.0;6.0;1.63
0.42;0.24;0.93;4.0;19.0;52.0;7.0;4.0;1.18
0.36;0.22;1.12;6.0;27.0;38.0;10.0;3.0;1.52
0.4;0.22;1.37;9.0;17.0;50.0;9.0;4.0;1.86
0.35;0.19;0.89;3.0;20.0;54.0;10.0;4.0;1.21
0.36;0.21;0.87;3.0;14.0;49.0;8.0;3.0;1.11
0.35;0.34;0.86;2.0;16.0;51.0;12.0;6.0;1.01
0.37;0.33;0.89;7.0;20.0;57.0;14.0;7.0;1.59
0.37;0.22;0.95;3.0;17.0;76.0;13.0;4.0;1.44
0.38;0.3;1.06;6.0;34.0;42.0;15.0;6.0;2.27
0.36;0.21;0.95;8.0;20.0;55.0;11.0;5.0;1.47
0.36;0.22;0.88;5.0;23.0;53.0;13.0;3.0;1.44
0.36;0.27;0.85;3.0;19.0;55.0;12.0;5.0;1.11
0.37;0.19;0.87;2.0;13.0;63.0;13.0;4.0;1.01
0.37;0.16;0.85;4.0;14.0;50.0;10.0;4.0;0.95
0.36;0.17;0.99;4.0;20.0;30.0;6.0;4.0;2.07
0.41;0.2;0.99;11.0;16.0;30.0;8.0;4.0;1.88
0.41;0.2;0.9;3.0;19.0;46.0;7.0;4.0;1.23
0.37;0.28;0.9;9.0;31.0;35.0;10.0;4.0;1.67
0.36;0.23;0.9;9.0;19.0;19.0;8.0;4.0;1.38
0.35;0.18;0.85;4.0;12.0;33.0;6.0;5.0;0.97
0.38;0.38;0.87;6.0;19.0;36.0;12.0;11.0;1.38
0.38;0.25;0.97;5.0;26.0;37.0;14.0;4.0;1.38
0.99;0.2;1.4;5.0;17.0;34.0;9.0;4.0;2.87
0.99;0.24;1.41;8.0;21.0;28.0;13.0;3.0;2.87
1.6;0.23;1.4;8.0;26.0;26.0;12.0;5.0;4.35
1.6;0.26;1.84;5.0;18.0;30.0;10.0;6.0;4.35
1.37;0.27;1.07;4.0;17.0;44.0;15.0;8.0;2.77
1.45;0.29;1.94;11.0;20.0;34.0;14.0;9.0;4.69
0.67;0.18;1.11;3.0;16.0;42.0;8.0;5.0;2.82
0.85;0.17;1.3;5.0;15.0;35.0;6.0;5.0;3.36
0.97;0.51;2.63;4.0;22.0;37.0;12.0;9.0;4.98
1.71;0.82;5.32;18.0;34.0;37.0;18.0;15.0;8.2
2.67;0.45;1.01;3.0;23.0;57.0;31.0;20.0;3.28
0.89;0.44;0.9;2.0;20.0;52.0;17.0;7.0;2.64
1.67;0.3;2.9;9.0;23.0;57.0;21.0;6.0;5.87
0.7;0.15;0.56;4.0;12.0;54.0;8.0;4.0;2.07
1.15;0.18;1.24;5.0;14.0;40.0;8.0;4.0;3.62
0.97;0.15;1.27;6.0;19.0;38.0;6.0;4.0;3.35
1.04;0.19;2.07;13.0;21.0;32.0;9.0;4.0;4.44
0.23;0.48;0.5;7.0;23.0;38.0;12.0;10.0;1.08
0.31;0.29;0.49;5.0;14.0;38.0;11.0;5.0;0.91
0.14;0.15;0.18;4.0;11.0;45.0;5.0;4.0;0.43
0.12;0.14;0.25;5.0;12.0;37.0;6.0;4.0;0.69
0.07;0.17;0.14;2.0;9.0;47.0;6.0;4.0;0.35
0.18;0.26;0.3;3.0;14.0;44.0;9.0;5.0;0.7
0.11;0.15;0.2;3.0;14.0;41.0;5.0;4.0;0.47
0.22;0.17;0.3;8.0;13.0;34.0;7.0;4.0;0.74
0.21;0.2;0.28;6.0;13.0;41.0;9.0;5.0;0.71
0.19;0.2;0.53;7.0;16.0;44.0;10.0;5.0;1.19
0.14;0.2;0.41;3.0;16.0;47.0;13.0;6.0;1.05
0.17;0.2;0.46;3.0;18.0;50.0;13.0;4.0;1.15
0.23;0.19;0.33;3.0;16.0;52.0;11.0;5.0;0.8
0.33;0.31;0.34;4.0;19.0;40.0;8.0;8.0;0.8
0.4;0.29;0.13;2.0;12.0;54.0;8.0;6.0;0.4
0.44;0.69;0.25;5.0;26.0;40.0;13.0;13.0;0.65
0.69;0.75;1.01;16.0;23.0;41.0;14.0;10.0;2.34
0.47;0.42;0.44;6.0;23.0;58.0;16.0;8.0;1.25
0.42;0.34;0.32;4.0;18.0;48.0;12.0;7.0;0.72
0.52;0.43;0.52;6.0;24.0;36.0;10.0;9.0;1.25
0.37;0.36;0.66;12.0;21.0;37.0;12.0;6.0;1.56
0.38;0.35;0.44;7.0;17.0;42.0;11.0;8.0;1.12
0.34;0.38;0.36;4.0;20.0;51.0;14.0;10.0;1.03
0.42;0.38;0.55;7.0;25.0;57.0;10.0;5.0;1.67
0.46;0.39;2.06;18.0;26.0;58.0;11.0;7.0;1.69
0.48;0.44;0.68;7.0;33.0;57.0;12.0;9.0;1.29
0.5;0.39;1.09;7.0;33.0;44.0;11.0;7.0;1.6
0.35;0.33;0.74;4.0;26.0;47.0;9.0;7.0;1.39
0.49;0.63;0.8;11.0;25.0;40.0;12.0;12.0;1.85
0.36;0.42;0.21;3.0;18.0;51.0;13.0;15.0;0.56
0.3;0.37;0.69;7.0;22.0;48.0;12.0;8.0;1.42
0.47;0.74;1.44;10.0;35.0;27.0;19.0;27.0;2.64
0.71;0.61;1.04;14.0;36.0;33.0;20.0;14.0;2.14
0.6;0.47;1.35;5.0;25.0;51.0;16.0;11.0;2.33
0.29;0.3;0.58;6.0;19.0;41.0;9.0;7.0;1.34
0.33;0.51;0.5;5.0;24.0;41.0;10.0;10.0;1.23
0.56;0.42;0.37;3.0;23.0;42.0;17.0;12.0;0.99
0.82;0.5;1.26;18.0;39.0;31.0;21.0;16.0;2.33
0.71;0.44;1.23;18.0;32.0;32.0;17.0;14.0;2.03
0.65;0.48;0.86;11.0;34.0;37.0;15.0;17.0;1.72
1.06;0.42;1.08;18.0;34.0;32.0;20.0;15.0;2.36
0.6;0.38;0.85;11.0;25.0;28.0;14.0;15.0;1.59
0.72;0.39;0.47;8.0;22.0;31.0;12.0;12.0;1.03
0.28;0.36;0.22;4.0;16.0;27.0;11.0;10.0;0.54
0.17;0.25;0.23;3.0;13.0;56.0;4.0;6.0;0.65
0.43;0.3;0.52;19.0;26.0;41.0;10.0;7.0;1.2
0.69;0.54;1.8;32.0;40.0;20.0;20.0;14.0;3.61
0.77;0.45;1.15;21.0;39.0;46.0;19.0;15.0;2.51
0.6;0.42;0.54;4.0;26.0;56.0;21.0;11.0;1.32
0.32;0.33;0.34;3.0;16.0;72.0;14.0;9.0;0.8
0.31;0.42;0.23;2.0;16.0;80.0;14.0;9.0;0.58
0.28;0.34;0.25;3.5;20.5;67.5;11.0;7.5;0.66
0.24;0.26;0.27;5.0;25.0;55.0;8.0;6.0;0.75
0.65;0.43;1.54;21.0;31.0;35.0;11.0;7.0;2.59
0.63;0.43;2.13;32.0;36.0;27.0;15.0;9.0;2.95
1.02;0.82;3.51;62.0;49.0;15.0;23.0;13.0;5.81
0.77;0.4;2.38;27.0;43.0;36.0;18.0;15.0;2.56
0.51;0.37;0.91;10.0;26.0;35.0;15.0;8.0;1.58
0.39;0.3;0.69;15.0;22.0;39.0;7.0;7.0;1.39
0.62;0.35;1.23;22.0;30.0;24.0;11.0;9.0;2.45
0.86;0.71;2.48;27.0;33.0;17.0;18.0;11.0;4.15
1.48;0.55;5.68;78.0;55.0;20.0;18.0;8.0;9.18
1.29;0.4;4.81;26.0;43.0;25.0;15.0;8.0;6.44
0.51;0.28;1.42;9.0;17.0;47.0;9.0;5.0;3.09
0.51;0.29;2.01;15.0;24.0;43.0;8.0;4.0;3.73
0.38;0.28;0.82;7.0;19.0;51.0;5.0;6.0;1.96
0.65;0.37;2.12;21.0;32.0;23.0;10.0;9.0;4.0
0.86;0.49;2.91;25.0;31.0;26.0;14.0;8.0;5.89
0.72;0.46;2.67;20.0;30.0;25.0;17.0;15.0;4.65
0.73;0.34;1.83;8.0;35.0;31.0;12.0;7.0;3.85
1.34;0.44;2.39;20.0;36.0;25.0;19.0;7.0;5.05
0.63;0.37;1.45;10.0;26.0;36.0;18.0;6.0;3.56
0.57;0.38;0.82;7.0;20.0;37.0;21.0;7.0;2.34
0.43;0.29;0.63;5.0;25.0;56.0;15.0;5.0;2.12
0.64;0.34;1.93;28.0;30.0;29.0;13.0;6.0;4.09
0.72;0.4;3.1;27.0;34.0;21.0;16.0;7.0;6.61
0.97;0.5;3.73;53.0;34.0;19.0;21.0;14.0;6.56
0.88;0.44;2.86;30.0;30.0;20.0;18.0;9.0;4.42
0.42;0.28;0.59;7.0;23.0;53.0;4.0;4.0;1.46
0.45;0.31;0.68;6.0;23.0;49.0;7.0;3.0;1.52
0.74;0.4;1.5;26.0;40.0;28.0;9.0;6.0;2.79
1.13;0.63;3.41;59.0;44.0;19.0;16.0;9.0;5.05
0.81;0.61;1.89;30.0;38.0;19.0;12.0;11.0;3.39
0.56;0.51;1.41;12.0;34.0;23.0;10.0;9.0;2.35
0.48;0.45;1.43;10.0;31.0;34.0;7.0;5.0;2.63
0.82;0.48;1.13;12.0;25.0;22.0;12.0;7.0;2.24
0.96;0.56;1.07;15.0;26.0;19.0;13.0;14.0;2.49
0.72;0.51;0.99;19.0;33.0;36.0;7.0;6.0;2.3
0.55;0.5;1.59;28.0;33.0;40.0;9.0;8.0;2.83
0.72;0.44;1.73;32.0;38.0;41.0;12.0;5.0;3.15
1.08;0.55;3.47;54.0;41.0;27.0;17.0;8.0;5.48
0.6;0.43;1.52;23.0;33.0;40.0;8.0;6.0;2.68
1.19;0.56;3.22;40.0;38.0;32.0;14.0;4.0;5.15
1.18;0.57;3.61;34.0;39.0;15.0;15.0;4.0;5.85
1.07;0.62;3.06;69.0;40.0;18.0;17.0;8.0;5.0
1.26;0.68;4.68;80.0;35.0;12.0;21.0;7.0;7.2
1.86;1.13;8.2;119.0;46.0;7.0;29.0;17.0;10.41
2.01;0.9;10.66;141.0;51.0;11.0;36.0;8.0;11.65
2.1;0.85;9.44;138.0;53.0;8.0;35.0;14.0;11.65
1.81;0.65;8.19;98.0;42.0;13.0;29.0;5.0;11.16
1.13;0.48;3.43;32.0;27.0;12.0;22.0;7.0;5.19
0.92;0.53;2.25;38.0;27.0;26.0;14.0;6.0;4.22
0.71;0.4;0.95;13.0;29.0;34.0;13.0;4.0;2.18
1.39;0.64;4.66;81.0;41.0;9.0;22.0;7.0;6.82
1.13;0.53;3.78;65.0;42.0;21.0;16.0;6.0;6.19
1.99;0.64;4.97;62.0;52.0;15.0;19.0;11.0;6.91
